graph_name,vertex_count,coloring_method,n_threads,coloring_time,colors_used
dsjr500.1.graph,500,seq_greedy,4,00.000355,15
dsjr500.1.graph,500,seq_ldf,4,00.000419,13
dsjr500.1.graph,500,rec_rlf,4,00.004735,14
dsjr500.1.graph,500,par_jp,4,00.023032,14
dsjr500.1.graph,500,color_op_ver,4,00.053006,13
dsjr500.1.graph,500,color_op_ed,4,09.797040,13
dsjc250.1.graph,250,seq_greedy,4,00.000527,12
dsjc250.1.graph,250,seq_ldf,4,00.000668,12
dsjc250.1.graph,250,rec_rlf,4,00.004002,13
dsjc250.1.graph,250,par_jp,4,00.045924,13
dsjc250.1.graph,250,color_op_ver,4,00.023262,11
dsjc250.1.graph,250,color_op_ed,4,09.783520,11
le450_5a.graph,450,seq_greedy,4,00.000966,13
le450_5a.graph,450,seq_ldf,4,00.001257,11
le450_5a.graph,450,rec_rlf,4,00.011340,13
le450_5a.graph,450,par_jp,4,00.048217,13
le450_5a.graph,450,color_op_ver,4,00.076134,11
le450_5a.graph,450,color_op_ed,4,23.315219,8
le450_5c.graph,450,seq_greedy,4,00.001406,16
le450_5c.graph,450,seq_ldf,4,00.001702,11
le450_5c.graph,450,rec_rlf,4,00.016510,16
le450_5c.graph,450,par_jp,4,00.036793,15
le450_5c.graph,450,color_op_ver,4,00.074959,7
le450_5c.graph,450,color_op_ed,4,74.461692,7
le450_5d.graph,450,seq_greedy,4,00.001451,16
le450_5d.graph,450,seq_ldf,4,00.001688,12
le450_5d.graph,450,rec_rlf,4,00.016632,17
le450_5d.graph,450,par_jp,4,00.024868,17
le450_5d.graph,450,color_op_ver,4,00.080829,8
le450_5d.graph,450,color_op_ed,4,78.890624,7
le450_5b.graph,450,seq_greedy,4,00.001062,14
le450_5b.graph,450,seq_ldf,4,00.001259,11
le450_5b.graph,450,rec_rlf,4,00.011256,13
le450_5b.graph,450,par_jp,4,00.056627,13
le450_5b.graph,450,color_op_ver,4,00.080939,10
le450_5b.graph,450,color_op_ed,4,22.820234,8
