graph_name,vertex_count,coloring_method,n_threads,coloring_time,colors_used
queen6_6.graph,36,seq_greedy,4,00.000065,9
queen6_6.graph,36,seq_ldf,4,00.000070,9
queen6_6.graph,36,rec_rlf,4,00.000103,9
queen6_6.graph,36,par_jp,4,00.018834,9
queen6_6.graph,36,color_op_ver,4,00.003359,8
queen6_6.graph,36,color_op_ed,4,00.137093,8
miles750.graph,128,seq_greedy,4,00.000415,34
miles750.graph,128,seq_ldf,4,00.000384,32
miles750.graph,128,rec_rlf,4,00.001306,33
miles750.graph,128,par_jp,4,00.122952,33
miles750.graph,128,color_op_ver,4,00.060785,33
miles750.graph,128,color_op_ed,4,38.273137,33
queen8_8.graph,64,seq_greedy,4,00.000135,13
queen8_8.graph,64,seq_ldf,4,00.000138,14
queen8_8.graph,64,rec_rlf,4,00.000335,12
queen8_8.graph,64,par_jp,4,00.038098,13
queen8_8.graph,64,color_op_ver,4,00.004280,10
queen8_8.graph,64,color_op_ed,4,01.155483,11
mulsol.i.2.graph,188,seq_greedy,4,00.000581,31
mulsol.i.2.graph,188,seq_ldf,4,00.000522,31
mulsol.i.2.graph,188,rec_rlf,4,00.003465,31
mulsol.i.2.graph,188,par_jp,4,00.002592,31
mulsol.i.2.graph,188,color_op_ver,4,00.109967,31
mulsol.i.2.graph,188,color_op_ed,4,170.286979,31
miles250.graph,128,seq_greedy,4,00.000055,10
miles250.graph,128,seq_ldf,4,00.000077,8
miles250.graph,128,rec_rlf,4,00.000210,9
miles250.graph,128,par_jp,4,00.010548,10
miles250.graph,128,color_op_ver,4,00.005891,9
miles250.graph,128,color_op_ed,4,00.145468,8
queen10_10.graph,100,seq_greedy,4,00.000241,16
queen10_10.graph,100,seq_ldf,4,00.000266,17
queen10_10.graph,100,rec_rlf,4,00.000873,15
queen10_10.graph,100,par_jp,4,00.002561,15
queen10_10.graph,100,color_op_ver,4,00.100424,14
queen10_10.graph,100,color_op_ed,4,08.836800,13
r125.5.graph,125,seq_greedy,4,00.000263,42
r125.5.graph,125,seq_ldf,4,00.000278,39
r125.5.graph,125,rec_rlf,4,00.001018,39
r125.5.graph,125,par_jp,4,00.089834,43
r125.5.graph,125,color_op_ver,4,00.184920,41
r125.5.graph,125,color_op_ed,4,306.763138,42
zeroin.i.3.graph,206,seq_greedy,4,00.000512,31
zeroin.i.3.graph,206,seq_ldf,4,00.000494,30
zeroin.i.3.graph,206,rec_rlf,4,00.002434,30
zeroin.i.3.graph,206,par_jp,4,00.155235,30
zeroin.i.3.graph,206,color_op_ver,4,00.068724,30
zeroin.i.3.graph,206,color_op_ed,4,146.193093,30
queen8_12.graph,96,seq_greedy,4,00.000234,15
queen8_12.graph,96,seq_ldf,4,00.000257,16
queen8_12.graph,96,rec_rlf,4,00.000907,15
queen8_12.graph,96,par_jp,4,00.107025,17
queen8_12.graph,96,color_op_ver,4,00.025246,13
queen8_12.graph,96,color_op_ed,4,06.950466,14
myciel6.graph,95,seq_greedy,4,00.000145,8
myciel6.graph,95,seq_ldf,4,00.000161,7
myciel6.graph,95,rec_rlf,4,00.000312,7
myciel6.graph,95,par_jp,4,00.062130,8
myciel6.graph,95,color_op_ver,4,00.019634,7
myciel6.graph,95,color_op_ed,4,00.474132,7
anna.graph,138,seq_greedy,4,00.000130,11
anna.graph,138,seq_ldf,4,00.000180,11
anna.graph,138,rec_rlf,4,00.000339,11
anna.graph,138,par_jp,4,00.054380,11
anna.graph,138,color_op_ver,4,00.008695,11
anna.graph,138,color_op_ed,4,00.390976,11
