graph_name,vertex_count,coloring_method,n_threads,coloring_time,colors_used
queen6_6.graph,36,seq_greedy,4,0.000096,10
queen6_6.graph,36,seq_ldf,4,0.000077,9
queen6_6.graph,36,rec_rlf,4,0.000211,9
queen6_6.graph,36,par_jp,4,0.036281,10
queen6_6.graph,36,color_op_ver,4,0.004415,9
miles750.graph,128,seq_greedy,4,0.000490,34
miles750.graph,128,seq_ldf,4,0.000523,32
miles750.graph,128,rec_rlf,4,0.003434,33
miles750.graph,128,par_jp,4,0.003437,33
miles750.graph,128,color_op_ver,4,0.281045,33
queen8_8.graph,64,seq_greedy,4,0.000189,12
queen8_8.graph,64,seq_ldf,4,0.000181,14
queen8_8.graph,64,rec_rlf,4,0.000868,12
queen8_8.graph,64,par_jp,4,0.000617,12
queen8_8.graph,64,color_op_ver,4,0.023334,11
mulsol.i.2.graph,188,seq_greedy,4,0.000833,31
mulsol.i.2.graph,188,seq_ldf,4,0.000908,31
mulsol.i.2.graph,188,rec_rlf,4,0.010517,31
mulsol.i.2.graph,188,par_jp,4,0.079546,31
mulsol.i.2.graph,188,color_op_ver,4,0.587129,31
miles250.graph,128,seq_greedy,4,0.000150,9
miles250.graph,128,seq_ldf,4,0.000161,8
miles250.graph,128,rec_rlf,4,0.001156,9
miles250.graph,128,par_jp,4,0.000621,10
miles250.graph,128,color_op_ver,4,0.011632,9
queen10_10.graph,100,seq_greedy,4,0.000352,14
queen10_10.graph,100,seq_ldf,4,0.000355,17
queen10_10.graph,100,rec_rlf,4,0.002500,15
queen10_10.graph,100,par_jp,4,0.000869,15
queen10_10.graph,100,color_op_ver,4,0.094300,15
r125.5.graph,125,seq_greedy,4,0.000856,44
r125.5.graph,125,seq_ldf,4,0.000885,39
r125.5.graph,125,rec_rlf,4,0.006116,39
r125.5.graph,125,par_jp,4,0.001751,43
r125.5.graph,125,color_op_ver,4,0.770150,40
zeroin.i.3.graph,206,seq_greedy,4,0.000797,30
zeroin.i.3.graph,206,seq_ldf,4,0.000887,30
zeroin.i.3.graph,206,rec_rlf,4,0.009896,30
zeroin.i.3.graph,206,par_jp,4,0.113962,30
zeroin.i.3.graph,206,color_op_ver,4,0.444770,30
queen8_12.graph,96,seq_greedy,4,0.000328,16
queen8_12.graph,96,seq_ldf,4,0.000346,16
queen8_12.graph,96,rec_rlf,4,0.002306,15
queen8_12.graph,96,par_jp,4,0.000925,15
queen8_12.graph,96,color_op_ver,4,0.083543,14
myciel6.graph,95,seq_greedy,4,0.000197,7
myciel6.graph,95,seq_ldf,4,0.000201,7
myciel6.graph,95,rec_rlf,4,0.000842,7
myciel6.graph,95,par_jp,4,0.002591,8
myciel6.graph,95,color_op_ver,4,0.013487,7
anna.graph,138,seq_greedy,4,0.000170,11
anna.graph,138,seq_ldf,4,0.000184,11
anna.graph,138,rec_rlf,4,0.000887,11
