graph_name,vertex_count,coloring_method,n_threads,coloring_time,colors_used
queen6_6.graph,36,seq_greedy,4,00.000014,10
queen6_6.graph,36,seq_ldf,4,00.000015,9
queen6_6.graph,36,rec_rlf,4,00.000023,9
queen6_6.graph,36,par_jp,4,00.000108,10
queen6_6.graph,36,color_op_ver,4,00.000695,8
queen6_6.graph,36,color_op_ed,4,00.088990,8
miles750.graph,128,seq_greedy,4,00.000335,34
miles750.graph,128,seq_ldf,4,00.000382,32
miles750.graph,128,rec_rlf,4,00.001322,33
miles750.graph,128,par_jp,4,00.000256,34
miles750.graph,128,color_op_ver,4,00.079369,33
miles750.graph,128,color_op_ed,4,38.102330,33
queen8_8.graph,64,seq_greedy,4,00.000130,13
queen8_8.graph,64,seq_ldf,4,00.000141,14
queen8_8.graph,64,rec_rlf,4,00.000336,12
queen8_8.graph,64,par_jp,4,00.000113,12
queen8_8.graph,64,color_op_ver,4,00.006257,10
queen8_8.graph,64,color_op_ed,4,01.159847,11
mulsol.i.2.graph,188,seq_greedy,4,00.000539,31
mulsol.i.2.graph,188,seq_ldf,4,00.000513,31
mulsol.i.2.graph,188,rec_rlf,4,00.001773,31
mulsol.i.2.graph,188,par_jp,4,00.000408,31
mulsol.i.2.graph,188,color_op_ver,4,00.084419,31
mulsol.i.2.graph,188,color_op_ed,4,167.823854,31
miles250.graph,128,seq_greedy,4,00.000114,10
miles250.graph,128,seq_ldf,4,00.000173,8
miles250.graph,128,rec_rlf,4,00.000396,9
miles250.graph,128,par_jp,4,00.000132,10
miles250.graph,128,color_op_ver,4,00.001804,9
miles250.graph,128,color_op_ed,4,00.078065,8
queen10_10.graph,100,seq_greedy,4,00.000236,16
queen10_10.graph,100,seq_ldf,4,00.000264,17
queen10_10.graph,100,rec_rlf,4,00.000900,15
queen10_10.graph,100,par_jp,4,00.000217,17
queen10_10.graph,100,color_op_ver,4,00.020815,14
queen10_10.graph,100,color_op_ed,4,08.597480,13
r125.5.graph,125,seq_greedy,4,00.000540,43
r125.5.graph,125,seq_ldf,4,00.000568,39
r125.5.graph,125,rec_rlf,4,00.001307,39
r125.5.graph,125,par_jp,4,00.000387,45
r125.5.graph,125,color_op_ver,4,00.163338,41
r125.5.graph,125,color_op_ed,4,300.588083,42
zeroin.i.3.graph,206,seq_greedy,4,00.000506,30
zeroin.i.3.graph,206,seq_ldf,4,00.000492,30
zeroin.i.3.graph,206,rec_rlf,4,00.001969,30
zeroin.i.3.graph,206,par_jp,4,00.000425,31
zeroin.i.3.graph,206,color_op_ver,4,00.069930,30
zeroin.i.3.graph,206,color_op_ed,4,141.494604,30
queen8_12.graph,96,seq_greedy,4,00.000229,16
queen8_12.graph,96,seq_ldf,4,00.000255,16
queen8_12.graph,96,rec_rlf,4,00.000833,15
queen8_12.graph,96,par_jp,4,00.000189,15
queen8_12.graph,96,color_op_ver,4,00.018496,13
queen8_12.graph,96,color_op_ed,4,06.727135,14
myciel6.graph,95,seq_greedy,4,00.000142,8
myciel6.graph,95,seq_ldf,4,00.000152,7
myciel6.graph,95,rec_rlf,4,00.000328,7
myciel6.graph,95,par_jp,4,00.000143,7
myciel6.graph,95,color_op_ver,4,00.004512,7
myciel6.graph,95,color_op_ed,4,00.439722,7
anna.graph,138,seq_greedy,4,00.000128,11
anna.graph,138,seq_ldf,4,00.000170,11
anna.graph,138,rec_rlf,4,00.000356,11
anna.graph,138,par_jp,4,00.000140,11
anna.graph,138,color_op_ver,4,00.004733,11
anna.graph,138,color_op_ed,4,00.369511,11
queen9_9.graph,81,seq_greedy,4,00.000181,14
queen9_9.graph,81,seq_ldf,4,00.000197,16
queen9_9.graph,81,rec_rlf,4,00.000594,15
queen9_9.graph,81,par_jp,4,00.000170,14
