graph_name,vertex_count,coloring_method,n_threads,coloring_time,colors_used
queen8_12.graph,96,par_opt_ver,8,0.574867,14
queen8_12.graph,96,par_opt_ed,8,33.387011,14
le450_5c.graph,450,seq_greedy,8,0.005420,16
le450_5c.graph,450,seq_ldf,8,0.006420,11
le450_5c.graph,450,rec_rlf,8,0.070098,16
le450_5c.graph,450,par_jp,8,0.003946,15
le450_5c.graph,450,par_opt_ver,8,1.986831,7
le450_5c.graph,450,par_opt_ed,8,682.139892,7
queen13_13.graph,169,seq_greedy,8,0.002219,20
queen13_13.graph,169,seq_ldf,8,0.002307,21
queen13_13.graph,169,rec_rlf,8,0.024561,19
queen13_13.graph,169,par_jp,8,0.002225,20
queen13_13.graph,169,par_opt_ver,8,2.008958,18
queen13_13.graph,169,par_opt_ed,8,295.685493,17
queen7_7.graph,49,seq_greedy,8,0.000138,11
queen7_7.graph,49,seq_ldf,8,0.000133,12
queen7_7.graph,49,rec_rlf,8,0.000466,11
queen7_7.graph,49,par_jp,8,0.001016,12
queen7_7.graph,49,par_opt_ver,8,0.183666,10
queen7_7.graph,49,par_opt_ed,8,3.463428,9
mulsol.i.4.graph,185,seq_greedy,8,0.001090,31
mulsol.i.4.graph,185,seq_ldf,8,0.000961,31
mulsol.i.4.graph,185,rec_rlf,8,0.010842,31
mulsol.i.4.graph,185,par_jp,8,0.046274,31
mulsol.i.4.graph,185,par_opt_ver,8,1.575720,31
mulsol.i.4.graph,185,par_opt_ed,8,950.492169,31
mulsol.i.1.graph,197,seq_greedy,8,0.001060,49
mulsol.i.1.graph,197,seq_ldf,8,0.000876,49
mulsol.i.1.graph,197,rec_rlf,8,0.009137,49
mulsol.i.1.graph,197,par_jp,8,0.003108,49
mulsol.i.1.graph,197,par_opt_ver,8,2.164866,49
mulsol.i.1.graph,197,par_opt_ed,8,1639.892488,49
myciel4.graph,23,seq_greedy,8,0.000132,5
myciel4.graph,23,seq_ldf,8,0.000082,5
myciel4.graph,23,rec_rlf,8,0.000148,5
myciel4.graph,23,par_jp,8,0.001205,5
myciel4.graph,23,par_opt_ver,8,0.043074,5
myciel4.graph,23,par_opt_ed,8,0.100227,5
zeroin.i.3.graph,206,seq_greedy,8,0.001016,31
zeroin.i.3.graph,206,seq_ldf,8,0.001077,30
zeroin.i.3.graph,206,rec_rlf,8,0.007488,30
zeroin.i.3.graph,206,par_jp,8,0.002519,30
zeroin.i.3.graph,206,par_opt_ver,8,1.439800,30
zeroin.i.3.graph,206,par_opt_ed,8,876.285367,30
le450_5a.graph,450,seq_greedy,8,0.003718,13
le450_5a.graph,450,seq_ldf,8,0.004300,11
le450_5a.graph,450,rec_rlf,8,0.064181,13
le450_5a.graph,450,par_jp,8,0.002630,13
le450_5a.graph,450,par_opt_ver,8,3.893705,8
le450_5a.graph,450,par_opt_ed,8,220.208679,9
queen14_14.graph,196,seq_greedy,8,0.001206,20
queen14_14.graph,196,seq_ldf,8,0.002034,24
queen14_14.graph,196,rec_rlf,8,0.030810,21
queen14_14.graph,196,par_jp,8,0.002224,21
queen14_14.graph,196,par_opt_ver,8,2.791180,18
queen14_14.graph,196,par_opt_ed,8,553.432672,18
myciel5.graph,47,seq_greedy,8,0.000114,6
myciel5.graph,47,seq_ldf,8,0.000094,6
myciel5.graph,47,rec_rlf,8,0.000261,6
myciel5.graph,47,par_jp,8,0.001295,6
myciel5.graph,47,par_opt_ver,8,0.081162,6
myciel5.graph,47,par_opt_ed,8,0.540512,6
zeroin.i.1.graph,211,seq_greedy,8,0.001144,50
zeroin.i.1.graph,211,seq_ldf,8,0.000944,49
zeroin.i.1.graph,211,rec_rlf,8,0.008410,49
zeroin.i.1.graph,211,par_jp,8,0.002275,49
zeroin.i.1.graph,211,par_opt_ver,8,2.397821,49
zeroin.i.1.graph,211,par_opt_ed,8,2094.742655,49
myciel6.graph,95,seq_greedy,8,0.000562,8
myciel6.graph,95,seq_ldf,8,0.000280,7
myciel6.graph,95,rec_rlf,8,0.001118,7
myciel6.graph,95,par_jp,8,0.000896,8
myciel6.graph,95,par_opt_ver,8,0.156849,7
myciel6.graph,95,par_opt_ed,8,4.437211,7
miles250.graph,128,seq_greedy,8,0.000379,9
miles250.graph,128,seq_ldf,8,0.000407,8
miles250.graph,128,rec_rlf,8,0.003552,9
miles250.graph,128,par_jp,8,0.001435,10
miles250.graph,128,par_opt_ver,8,0.194515,9
miles250.graph,128,par_opt_ed,8,1.219179,8
le450_5d.graph,450,seq_greedy,8,0.002049,18
le450_5d.graph,450,seq_ldf,8,0.002133,12
le450_5d.graph,450,rec_rlf,8,0.057224,17
le450_5d.graph,450,par_jp,8,0.004474,17
le450_5d.graph,450,par_opt_ver,8,2.051878,7
le450_5d.graph,450,par_opt_ed,8,737.448418,7
mulsol.i.3.graph,184,seq_greedy,8,0.002239,31
mulsol.i.3.graph,184,seq_ldf,8,0.002355,31
mulsol.i.3.graph,184,rec_rlf,8,0.027919,31
mulsol.i.3.graph,184,par_jp,8,0.002635,31
mulsol.i.3.graph,184,par_opt_ver,8,1.516701,31
mulsol.i.3.graph,184,par_opt_ed,8,923.656169,31
david.graph,87,seq_greedy,8,0.000179,11
david.graph,87,seq_ldf,8,0.000174,11
david.graph,87,rec_rlf,8,0.000634,11
david.graph,87,par_jp,8,0.000781,11
david.graph,87,par_opt_ver,8,0.182830,12
david.graph,87,par_opt_ed,8,2.970946,11
myciel3.graph,11,seq_greedy,8,0.000048,4
myciel3.graph,11,seq_ldf,8,0.000022,4
myciel3.graph,11,rec_rlf,8,0.000030,4
myciel3.graph,11,par_jp,8,0.000711,4
myciel3.graph,11,par_opt_ver,8,0.007910,4
myciel3.graph,11,par_opt_ed,8,0.011480,4
zeroin.i.2.graph,211,seq_greedy,8,0.002547,30
zeroin.i.2.graph,211,seq_ldf,8,0.000935,30
zeroin.i.2.graph,211,rec_rlf,8,0.017875,30
zeroin.i.2.graph,211,par_jp,8,0.006524,31
zeroin.i.2.graph,211,par_opt_ver,8,1.448944,30
zeroin.i.2.graph,211,par_opt_ed,8,861.739848,30
miles500.graph,128,seq_greedy,8,0.000908,23
miles500.graph,128,seq_ldf,8,0.000842,20
miles500.graph,128,rec_rlf,8,0.006209,21
